Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-5.8856,6.3631,0.2544,-37.369,-5.7601,NA,NA,0.2064,0.3023
A2,-8.3827,8.8758,0.3045,-46.6139,-5.5815,NA,NA,0.2318,0.3773
A3,-5.9047,6.4128,0.1967,-48.1672,-4.9446,NA,NA,0.0776,0.3157
A4,-7.5716,8.0783,0.2534,-49.4303,-5.6581,NA,NA,0.1913,0.3155
A5,-0.7652,9.6621,0.0342,-13.1638,-5.1028,NA,NA,0.0337,0.0347
A6,0.0045,0.8375,0.0227,-4.0131,-5.1819,0.0218,0.0236,0.0223,0.023
A7,-0.8331,16.3153,0.0439,5.9553,-5.3127,NA,NA,0.0433,0.0445
A8,-0.3852,23.6777,0.0775,38.8372,-4.7183,NA,NA,0.0567,0.0983
B1,0.1795,0.6738,0.1204,1.2054,-4.9588,0.1165,0.1244,0.1166,0.1242
B2,0.1764,0.6844,0.12,1.2932,-4.9053,0.116,0.1243,0.1161,0.124
B3,0.1743,0.6853,0.1195,1.3388,-4.8699,0.1153,0.1238,0.1154,0.1236
B4,0.1763,0.6983,0.1215,1.366,-4.8316,0.1172,0.126,0.1173,0.1257
D1,0.162,0.6742,0.1045,1.709,-4.7617,0.1,0.1093,0.1001,0.109
D2,0.1631,0.6603,0.1047,1.9153,-4.5655,0.0996,0.1102,0.0996,0.1098
D3,0.163,0.6443,0.1037,1.9365,-4.5917,0.0986,0.1092,0.0987,0.1088
D4,0.1636,0.6427,0.1031,1.9818,-4.5965,0.0981,0.1085,0.0981,0.1081
D5,0.1752,0.659,0.1353,1.4264,-4.7149,0.129,0.1421,0.1291,0.1416
D6,0.1744,0.6862,0.144,1.4537,-4.6092,0.1368,0.1517,0.1369,0.1511
D7,0.1789,0.679,0.1446,1.3851,-4.6303,0.1374,0.1523,0.1375,0.1516
D8,0.1797,0.7009,0.1502,1.3221,-4.6659,0.1433,0.1576,0.1434,0.157
E1,0.1654,0.6994,0.119,1.6136,-4.644,0.1136,0.1248,0.1137,0.1244
E2,0.162,0.6929,0.118,1.6221,-4.664,0.1126,0.1236,0.1127,0.1232
E3,0.1612,0.6998,0.1206,1.6355,-4.6372,0.1151,0.1265,0.1152,0.1261
E4,0.1594,0.6838,0.1156,1.6048,-4.6918,0.1105,0.1211,0.1106,0.1207
E5,6.7897,-6.6949,0.299,57.8376,-6.1923,NA,NA,0.232,0.3661
E6,16.1992,-16.1052,0.788,59.4189,-6.6109,NA,NA,0.7445,0.8314
E7,0.1032,132.4722,1.0104,60.8329,-6.3159,NA,NA,0.9709,1.05
E8,0.1034,128.7106,1.0164,58.8892,-6.2291,NA,NA,0.9759,1.057
F5,0.1315,0.3231,0.0427,1.7461,-5.6292,0.0411,0.0443,0.0411,0.0442
F6,0.4263,-0.3672,0.0411,8.8434,-5.9466,0.0401,0.0421,0.0401,0.0421
F7,0.4275,-0.3798,0.0401,8.8633,-5.8289,0.0391,0.0412,0.0391,0.0411
F8,0.1399,0.3188,0.0441,1.5889,-5.565,0.0423,0.0459,0.0424,0.0458
