Project Name : 20150611_BacterialRespiration       Generated On : 11/06/2015, 16:44:21
Start Date/Time: 11/06/2015, 01:30:57
End Date/Time: 11/06/2015, 11:16:12
User Comment : A: HMWF021, HMWF035; B: HMWF023, HMWF030; C: HMWF027, HMWF034; D: HMWF028, Blank
Proj. Created By :admin
SDR Serial No. : S-350
Report : @m01:IDENTIFICATION
Serial number     : SEBX0005000350      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 055
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY


Temperature : 22.5
Sensor Dish : Oxygen [cO2 [µmol/L]]
Calibration details for Oxygen
Batch No.:  PSt5-1428-01
Phase Angle cal0 : 55.01
Phase Angle cal100 : 48.01
Temperature for cal0 : 22.6
Air Pressure : 975
 
 
Date/Time;             Time/Sec.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Temperature;    Error;
11.06.1501:30:59;       1;              238.92;         237.67;         252.79;         264.29;         265.15;         323.01;         262.15;         254.49;         261.72;         258.31;         267.72;         265.58;         248.57;         244.36;         243.52;         260.44;         254.91;         256.19;         294.75;         269.01;         266.44;         305.87;         274.19;         258.74;         ;               22.62;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1501:36:03;       305;            231.86;         230.61;         245.62;         263.43;         263.01;         309;            257.89;         252.37;         259.16;         257.89;         266.44;         264.29;         238.09;         235.18;         233.51;         260.87;         254.06;         253.22;         288.14;         266.86;         263.43;         288.14;         274.19;         258.31;         ;               22.66;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1501:41:08;       610;            224.02;         221.97;         237.26;         261.3;          260.02;         296.52;         254.06;         248.57;         255.34;         256.19;         263.86;         262.58;         228.96;         223.61;         221.97;         259.16;         251.95;         253.22;         278.97;         264.29;         260.44;         282.02;         274.19;         257.89;         ;               22.66;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1501:46:13;       915;            216.24;         212.99;         228.14;         258.74;         257.46;         286.39;         250.26;         245.2;          251.95;         254.49;         263.01;         260.44;         220.74;         210.96;         208.13;         256.61;         253.22;         252.37;         271.6;          261.3;          256.61;         279.84;         272.9;          258.31;         ;               22.66;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1501:51:17;       1219;           209.75;         204.1;          219.51;         257.89;         255.76;         278.53;         246.88;         241.85;         248.57;         253.22;         261.72;         258.74;         212.99;         196.48;         193.3;          254.49;         251.52;         248.99;         263.86;         258.74;         254.06;         278.53;         272.46;         257.89;         ;               22.66;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1501:56:22;       1524;           203.29;         195.29;         209.75;         265.58;         254.06;         272.03;         244.36;         239.34;         244.36;         253.22;         260.87;         257.46;         204.1;          182.22;         176.34;         251.1;          248.57;         247.31;         257.04;         255.76;         251.52;         278.1;          272.9;          258.31;         ;               22.64;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:01:26;       1828;           195.29;         185.37;         199.68;         270.74;         250.68;         264.72;         240.59;         236.01;         239.34;         254.06;         258.31;         255.76;         193.69;         171.66;         160.84;         247.73;         246.46;         244.78;         252.37;         252.37;         250.26;         277.23;         272.9;          258.31;         ;               22.62;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:06:31;       2133;           188.14;         175.95;         190.51;         269.88;         248.99;         260.87;         236.84;         232.27;         234.34;         254.49;         257.04;         254.91;         183.01;         161.99;         148.23;         245.62;         244.78;         242.69;         249.41;         249.41;         247.31;         276.79;         272.46;         258.74;         ;               22.59;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:11:35;       2437;           179.86;         166.23;         179.86;         265.58;         246.04;         257.04;         233.93;         228.96;         229.37;         253.22;         255.76;         253.22;         171.66;         150.89;         135.8;          243.94;         243.94;         241.01;         246.88;         247.31;         244.36;         276.79;         273.33;         259.59;         ;               22.59;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:16:40;       2742;           171.66;         155.09;         169.33;         261.3;          243.11;         253.64;         230.2;          224.84;         224.43;         251.1;          255.76;         251.52;         159.68;         137.29;         119.83;         242.27;         242.69;         238.09;         243.94;         244.36;         240.59;         275.93;         273.33;         259.59;         ;               22.57;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:21:44;       3046;           162.38;         144.82;         157.77;         258.31;         239.76;         249.83;         226.08;         220.74;         219.1;          249.41;         256.61;         250.26;         147.1;          122.41;         103.41;         240.18;         241.01;         235.59;         241.43;         243.11;         236.84;         275.93;         273.33;         260.02;         ;               22.55;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:26:49;       3351;           153.56;         133.93;         145.96;         256.61;         237.26;         246.88;         221.97;         217.06;         212.99;         247.73;         257.04;         249.41;         134.3;          106.67;         88.69;          238.09;         239.76;         232.69;         238.92;         242.27;         233.93;         276.36;         273.76;         260.87;         ;               22.53;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
11.06.1502:31:53;       3655;           144.45;         123.15;         133.93;         254.91;         235.18;         244.78;         218.69;         212.99;         208.13;         246.04;         257.04;         248.15;         120.94;         90.12;          73.15;          235.18;         238.09;         230.2;          235.59;         241.85;         231.44;         276.36;         274.19;         260.87;         ;               22.53;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
