Project Name : 20150617_BacterialRespiration_a_MEM       Generated On : 18/06/2015, 21:56:47
Start Date/Time: 17/06/2015, 10:24:34
End Date/Time: 17/06/2015, 16:35:03
User Comment : A: HMWF001, HMWF003; B: HMWF004, HMWF005; C: HMWF006, HMWF007; D: HMWF008, Blank
Proj. Created By :admin
SDR Serial No. : S-350
Report : @m01:IDENTIFICATION

Serial number     : SEBX0005000350      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 055

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Temperature : 23
Sensor Dish : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1428-01
Phase Angle cal0 : 55.01
Phase Angle cal100 : 48.01
Temperature for cal0 : 22.6
Air Pressure : 975
 
 
Date/Time;             Time/Sec.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Temperature;    Error;
17.06.1510:24:37;       2;              96.72;          95.75;          96.56;          101.13;         98.67;          101.95;         105.43;         103.93;         102.61;         83.17;          85.84;          84.43;          86.79;          85.06;          83.49;          14.52;          0;              16.2;           96.07;          89.96;          100.31;         103.6;          107.93;         101.13;         ;               22.93;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:29:41;       306;            96.72;          94.94;          96.56;          100.64;         98.84;          101.46;         103.93;         103.6;          102.61;         81.3;           83.49;          81.77;          82.39;          81.92;          80.37;          2.68;           0;              1.43;           94.94;          90.92;          98.51;          102.45;         106.92;         99.98;          ;               22.96;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:34:46;       611;            97.21;          94.45;          96.07;          100.14;         98.35;          100.96;         103.27;         103.11;         102.28;         79.9;           81.46;          79.9;           80.52;          79.28;          78.36;          0;              0;              0;              94.62;          92.04;          97.53;          102.12;         107.09;         99.65;          ;               22.96;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:39:50;       915;            97.7;           93.97;          96.4;           99.49;          98.18;          100.47;         102.45;         102.45;         102.12;         78.51;          79.44;          77.89;          79.28;          76.66;          76.35;          0;              0;              0;              94.78;          92.36;          96.88;          101.79;         106.59;         99.16;          ;               22.98;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:44:55;       1220;           98.02;          93.65;          96.56;          99;             97.86;          100.14;         101.79;         101.95;         105.09;         77.89;          77.58;          76.05;          78.36;          74.67;          74.82;          0;              0;              0;              96.88;          92.84;          96.72;          101.79;         106.92;         99.16;          ;               22.98;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:50:00;       1525;           98.18;          93.01;          96.56;          98.18;          97.53;          99.49;          101.46;         101.79;         107.09;         77.28;          75.59;          74.21;          76.97;          72.38;          73.6;           0;              0;              0;              98.35;          94.62;          96.4;           101.79;         106.92;         99.33;          ;               22.96;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1510:55:05;       1830;           98.02;          92.68;          96.4;           97.86;          97.21;          99.33;          101.13;         101.62;         107.93;         76.51;          73.9;           72.53;          76.2;           70.87;          72.38;          0;              0;              0;              99.65;          96.72;          96.23;          101.95;         107.09;         99.49;          ;               22.96;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:00:10;       2135;           98.02;          92.2;           96.4;           97.21;          97.04;          99;             100.64;         101.29;         108.43;         75.43;          72.23;          71.32;          74.82;          70.41;          71.02;          0;              0;              0;              99.98;          98.51;          96.07;          101.79;         107.26;         99.49;          ;               22.96;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:05:14;       2439;           97.7;           91.24;          95.91;          96.56;          96.56;          98.67;          100.47;         101.29;         108.6;          74.36;          70.41;          70.26;          73.6;           69.66;          69.51;          0;              0;              0;              100.47;         99.49;          95.75;          101.95;         107.09;         99.49;          ;               22.94;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
17.06.1511:10:18;       2743;           97.7;           90.6;           95.75;          95.91;          96.56;          98.35;          100.64;         101.13;         108.93;         73.3;           68.75;          68.91;          72.84;          68.75;          68;             0;              0;              0;              100.8;          100.47;         95.59;          102.45;         107.42;         99.49;          ;               22.94;          ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
